frame,x,y,z
1,68.877,0,-20.291
2,68.667,0,-20.182
3,68.877,0,-20.327
4,69.105,0,-20.455
5,69.316,0,-20.6
6,69.544,0,-20.727
7,69.754,0,-20.873
8,69.947,0,-21
9,70.158,0,-21.145
10,70.386,0,-21.273
11,70.596,0,-21.418
12,70.825,0,-21.545
13,71.035,0,-21.691
14,71.263,0,-21.855
15,71.439,0,-22.036
16,71.667,0,-22.218
17,71.895,0,-22.436
18,72.07,0,-22.527
19,72.263,0,-22.655
20,72.456,0,-22.8
21,72.684,0,-22.945
22,72.912,0,-23.109
23,73.175,0,-23.309
24,73.404,0,-23.455
25,73.632,0,-23.618
26,73.895,0,-23.818
27,74.07,0,-23.982
28,74.246,0,-24.164
29,74.421,0,-24.345
30,74.614,0,-24.527
31,74.789,0,-24.691
32,74.965,0,-24.873
33,75.14,0,-25.055
34,75.333,0,-25.236
35,75.544,0,-25.436
36,75.754,0,-25.636
37,75.877,0,-25.745
38,76.053,0,-25.891
39,76.228,0,-26
40,76.386,0,-26.164
41,76.561,0,-26.273
42,76.737,0,-26.418
43,76.912,0,-26.582
44,77.018,0,-26.727
45,77.14,0,-26.927
46,77.246,0,-27.091
47,77.368,0,-27.291
48,77.474,0,-27.436
49,77.596,0,-27.636
50,77.702,0,-27.8
51,77.825,0,-28
52,78,0,-28.4
53,78.053,0,-28.527
54,78.123,0,-28.655
55,78.211,0,-28.782
56,78.281,0,-28.909
57,78.386,0,-29.091
58,78.456,0,-29.291
59,78.561,0,-29.491
60,78.632,0,-29.691
61,78.947,0,-30.182
62,78.842,0,-30.145
63,78.912,0,-30.291
64,79.018,0,-30.491
65,79.088,0,-30.636
66,79.211,0,-30.836
67,79.281,0,-30.982
68,79.386,0,-31.182
69,79.456,0,-31.327
70,79.579,0,-31.527
71,79.632,0,-31.727
72,79.719,0,-31.964
73,79.807,0,-32.2
74,79.86,0,-32.4
75,79.947,0,-32.636
76,80.035,0,-32.873
77,80.105,0,-33.055
78,80.228,0,-33.255
79,80.298,0,-33.436
80,80.421,0,-33.636
81,80.439,0,-33.8
82,80.474,0,-34
83,80.509,0,-34.218
84,80.526,0,-34.382
85,80.561,0,-34.582
86,80.596,0,-34.8
87,80.667,0,-34.909
88,80.789,0,-35.073
89,80.86,0,-35.182
90,80.982,0,-35.345
91,81,0,-35.545
92,81.018,0,-35.745
93,81.053,0,-35.855
94,81.123,0,-36
95,81.158,0,-36.109
96,81.228,0,-36.255
97,81.263,0,-36.364
98,81.351,0,-36.527
99,81.386,0,-36.636
100,81.456,0,-36.782
101,81.491,0,-36.891
102,81.561,0,-37.036
103,81.596,0,-37.145
104,81.684,0,-37.309
105,81.737,0,-37.4
106,81.842,0,-37.545
107,81.93,0,-37.655
108,82.035,0,-37.8
109,82.123,0,-37.909
110,82.228,0,-38.055
111,82.281,0,-38.145
112,82.386,0,-38.291
113,82.474,0,-38.4
114,82.579,0,-38.545
115,82.667,0,-38.655
116,82.772,0,-38.8
117,82.842,0,-38.964
118,82.965,0,-39.127
119,83.035,0,-39.291
120,83.158,0,-39.455
121,83.228,0,-39.564
122,83.316,0,-39.691
123,83.386,0,-39.818
124,83.509,0,-39.982
125,83.579,0,-40.109
126,83.667,0,-40.236
127,83.789,0,-40.4
128,83.895,0,-40.491
129,84,0,-40.6
130,84.105,0,-40.709
131,84.211,0,-40.8
132,84.316,0,-40.909
133,84.421,0,-41.018
134,84.561,0,-41.164
135,84.667,0,-41.236
136,84.807,0,-41.309
137,84.947,0,-41.382
138,85.088,0,-41.455
139,85.246,0,-41.582
140,85.351,0,-41.655
141,85.491,0,-41.727
142,85.632,0,-41.8
143,85.772,0,-41.873
144,85.93,0,-42
145,86.035,0,-42.073
146,86.175,0,-42.145
147,86.316,0,-42.218
148,86.439,0,-42.291
149,86.579,0,-42.364
150,86.719,0,-42.436
151,86.842,0,-42.545
152,86.982,0,-42.618
153,87.123,0,-42.691
154,87.246,0,-42.764
155,87.386,0,-42.836
156,87.526,0,-42.909
157,87.684,0,-43.018
158,87.825,0,-43.036
159,87.965,0,-43.109
160,88.105,0,-43.145
161,88.246,0,-43.218
162,88.421,0,-43.236
163,88.561,0,-43.309
164,88.702,0,-43.345
165,88.842,0,-43.418
166,89.018,0,-43.491
167,89.14,0,-43.527
168,89.316,0,-43.564
169,89.491,0,-43.636
170,89.667,0,-43.673
171,89.842,0,-43.745
172,89.965,0,-43.782
173,90.14,0,-43.855
174,90.316,0,-43.891
175,90.491,0,-43.964
176,90.667,0,-44
177,90.842,0,-44.073
178,90.965,0,-44.109
179,91.14,0,-44.145
180,91.316,0,-44.218
181,91.491,0,-44.255
182,91.667,0,-44.327
183,91.789,0,-44.364
184,91.965,0,-44.436
185,92.14,0,-44.473
186,92.316,0,-44.545
187,92.491,0,-44.582
188,92.667,0,-44.655
189,92.807,0,-44.673
190,92.982,0,-44.709
191,93.158,0,-44.782
192,93.333,0,-44.818
193,93.509,0,-44.855
194,93.684,0,-44.927
195,93.86,0,-44.964
196,94.035,0,-45
197,94.211,0,-45.073
198,94.386,0,-45.091
199,94.561,0,-45.164
200,94.737,0,-45.2
201,94.912,0,-45.236
202,95.088,0,-45.309
203,95.263,0,-45.345
204,95.439,0,-45.382
205,95.614,0,-45.455
206,95.789,0,-45.491
207,95.965,0,-45.564
208,96.105,0,-45.564
209,96.281,0,-45.6
210,96.474,0,-45.6
211,96.649,0,-45.636
212,96.825,0,-45.636
213,97.018,0,-45.673
214,97.193,0,-45.673
215,97.386,0,-45.709
216,97.526,0,-45.709
217,97.702,0,-45.745
218,97.895,0,-45.745
219,98.07,0,-45.782
220,98.246,0,-45.782
221,98.439,0,-45.818
222,98.614,0,-45.818
223,98.807,0,-45.855
224,98.93,0,-45.818
225,99.105,0,-45.818
226,99.281,0,-45.818
227,99.456,0,-45.818
228,99.596,0,-45.818
229,99.754,0,-45.782
230,99.93,0,-45.782
231,100.105,0,-45.782
232,100.246,0,-45.782
233,100.421,0,-45.782
234,100.579,0,-45.745
235,100.754,0,-45.745
236,100.895,0,-45.745
237,101.07,0,-45.745
238,101.246,0,-45.745
239,101.404,0,-45.709
240,101.544,0,-45.709
241,101.719,0,-45.709
242,101.895,0,-45.709
243,102.07,0,-45.709
244,102.246,0,-45.709
245,102.368,0,-45.673
246,102.509,0,-45.636
247,102.684,0,-45.6
248,102.807,0,-45.564
249,102.982,0,-45.527
250,103.123,0,-45.491
251,103.298,0,-45.509
252,103.421,0,-45.473
253,103.561,0,-45.436
254,103.737,0,-45.4
255,103.86,0,-45.364
256,104.035,0,-45.327
257,104.175,0,-45.291
258,104.351,0,-45.309
259,104.439,0,-45.236
260,104.579,0,-45.2
261,104.719,0,-45.182
262,104.807,0,-45.109
263,104.947,0,-45.073
264,105.088,0,-45.055
265,105.175,0,-44.982
266,105.316,0,-44.945
267,105.456,0,-44.927
268,105.544,0,-44.855
269,105.684,0,-44.818
270,105.825,0,-44.8
271,105.877,0,-44.727
272,105.982,0,-44.691
273,106.088,0,-44.655
274,106.193,0,-44.582
275,106.281,0,-44.545
276,106.386,0,-44.509
277,106.491,0,-44.436
278,106.596,0,-44.4
279,106.684,0,-44.382
280,106.789,0,-44.345
281,106.895,0,-44.273
282,107,0,-44.236
283,107.088,0,-44.2
284,107.193,0,-44.127
285,107.298,0,-44.091
286,107.404,0,-44.055
287,107.509,0,-44.036
288,107.544,0,-43.927
289,107.579,0,-43.836
290,107.649,0,-43.727
291,107.684,0,-43.636
292,107.754,0,-43.545
293,107.789,0,-43.436
294,107.825,0,-43.345
295,107.895,0,-43.236
296,107.93,0,-43.145
297,108,0,-43.055
298,108,0,-42.945
299,108.035,0,-42.855
300,108.07,0,-42.8
301,108.07,0,-42.691
302,108.105,0,-42.6
303,108.14,0,-42.545
304,108.088,0,-42.418
305,108.088,0,-42.345
306,108.088,0,-42.273
307,108.053,0,-42.182
308,108.053,0,-42.109
309,108.053,0,-42.036
310,108,0,-41.909
311,108,0,-41.836
312,108,0,-41.764
313,107.965,0,-41.673
314,107.965,0,-41.6
315,107.965,0,-41.527
316,107.877,0,-41.455
317,107.807,0,-41.382
318,107.772,0,-41.327
319,107.702,0,-41.255
320,107.649,0,-41.236
321,107.579,0,-41.164
322,107.544,0,-41.109
323,107.474,0,-41.036
324,107.439,0,-41.018
325,107.351,0,-40.982
326,107.281,0,-40.945
327,107.211,0,-40.909
328,107.123,0,-40.873
329,107.053,0,-40.836
330,106.982,0,-40.8
331,106.965,0,-40.8
332,106.947,0,-40.8
333,106.877,0,-40.764
334,106.807,0,-40.727
335,106.737,0,-40.691
336,106.667,0,-40.655
337,106.596,0,-40.618
338,106.526,0,-40.582
339,106.456,0,-40.582
340,106.351,0,-40.582
341,106.246,0,-40.582
342,106.193,0,-40.582
343,106.088,0,-40.582
344,105.982,0,-40.582
345,105.93,0,-40.618
346,105.825,0,-40.618
347,105.719,0,-40.618
348,105.667,0,-40.618
349,105.561,0,-40.618
350,105.456,0,-40.618
351,105.404,0,-40.655
352,105.333,0,-40.673
353,105.263,0,-40.709
354,105.211,0,-40.764
355,105.14,0,-40.8
356,105.123,0,-40.873
357,105,0,-40.891
358,104.877,0,-40.909
359,104.807,0,-40.982
360,104.684,0,-41
361,104.561,0,-41.018
362,104.491,0,-41.091
363,104.404,0,-41.109
364,104.333,0,-41.127
365,104.263,0,-41.145
366,104.211,0,-41.164
367,104.14,0,-41.182
368,104.07,0,-41.2
369,104.035,0,-41.218
370,103.947,0,-41.236
371,103.877,0,-41.255
372,103.807,0,-41.273
373,103.754,0,-41.291
374,103.684,0,-41.309
375,103.614,0,-41.327
376,103.579,0,-41.345
377,103.491,0,-41.364
378,103.421,0,-41.4
379,103.351,0,-41.436
380,103.281,0,-41.455
381,103.211,0,-41.491
382,103.14,0,-41.527
383,103.07,0,-41.564
384,103.018,0,-41.582
385,102.947,0,-41.618
386,102.877,0,-41.655
387,102.807,0,-41.691
388,102.737,0,-41.709
389,102.667,0,-41.745
390,102.596,0,-41.782
391,102.561,0,-41.855
392,102.456,0,-41.855
393,102.386,0,-41.891
